id,jp_name,en_name,hiragana,katakana,parent_id
265,風間浦村,kazamauramura,かざまうらむら,カザマウラムラ,8
266,佐井村,saimura,さいむら,サイムラ,8
267,三戸町,sannohemachi,さんのへまち,サンノヘマチ,8
268,五戸町,gonohemachi,ごのへまち,ゴノヘマチ,8
269,田子町,takkomachi,たっこまち,タッコマチ,8
270,南部町,nanbumachi,なんぶまち,ナンブマチ,8
271,階上町,hashikamichou,はしかみちょう,ハシカミチョウ,8
272,新郷村,shingoumura,しんごうむら,シンゴウムラ,8
273,盛岡市,moriokashi,もりおかし,モリオカシ,9
274,宮古市,miyakoshi,みやこし,ミヤコシ,9
275,大船渡市,oofunatoshi,おおふなとし,オオフナトシ,9
276,花巻市,hanamakishi,はなまきし,ハナマキシ,9
277,北上市,kitakamishi,きたかみし,キタカミシ,9
278,久慈市,kujishi,くじし,クジシ,9
279,遠野市,toonoshi,とおのし,トオノシ,9
280,一関市,ichinosekishi,いちのせきし,イチノセキシ,9
281,陸前高田市,rikuzentakatashi,りくぜんたかたし,リクゼンタカタシ,9
282,釜石市,kamaishishi,かまいしし,カマイシシ,9
283,二戸市,ninoheshi,にのへし,ニノヘシ,9
284,八幡平市,hachimantaishi,はちまんたいし,ハチマンタイシ,9
285,奥州市,oushuushi,おうしゅうし,オウシュウシ,9
286,滝沢市,takizawashi,たきざわし,タキザワシ,9
287,雫石町,shizukuishichou,しずくいしちょう,シズクイシチョウ,9
288,葛巻町,kuzumakimachi,くずまきまち,クズマキマチ,9
289,岩手町,iwatechou,いわてちょう,イワテチョウ,9
290,紫波町,shiwachou,しわちょう,シワチョウ,9
291,矢巾町,yahabachou,やはばちょう,ヤハバチョウ,9
292,西和賀町,nishiwagamachi,にしわがまち,ニシワガマチ,9
293,金ケ崎町,kanegasakichou,かねがさきちょう,カネガサキチョウ,9
294,平泉町,hiraizumichou,ひらいずみちょう,ヒライズミチョウ,9
295,住田町,sumidamachi,すみだまち,スミダマチ,9
296,大槌町,ootsuchichou,おおつちちょう,オオツチチョウ,9
297,山田町,yamadachou,やまだちょう,ヤマダチョウ,9
298,岩泉町,iwaizumichou,いわいずみちょう,イワイズミチョウ,9
299,田野畑村,tanohatamura,たのはたむら,タノハタムラ,9
300,普代村,fudaimura,ふだいむら,フダイムラ,9
301,軽米町,karumaimachi,かるまいまち,カルマイマチ,9
302,野田村,nodamura,のだむら,ノダムラ,9
303,九戸村,kunohemura,くのへむら,クノヘムラ,9
304,洋野町,hironochou,ひろのちょう,ヒロノチョウ,9
305,一戸町,ichinohemachi,いちのへまち,イチノヘマチ,9
306,仙台市,sendaishi,せんだいし,センダイシ,10
307,石巻市,ishinomakishi,いしのまきし,イシノマキシ,10
308,塩竈市,shiogamashi,しおがまし,シオガマシ,10
309,気仙沼市,kesennumashi,けせんぬまし,ケセンヌマシ,10
310,白石市,shiroishishi,しろいしし,シロイシシ,10
311,名取市,natorishi,なとりし,ナトリシ,10
312,角田市,kakudashi,かくだし,カクダシ,10
313,多賀城市,tagajoushi,たがじょうし,タガジョウシ,10
314,岩沼市,iwanumashi,いわぬまし,イワヌマシ,10
315,登米市,tomeshi,とめし,トメシ,10
316,栗原市,kuriharashi,くりはらし,クリハラシ,10
317,東松島市,higashimatsushimashi,ひがしまつしまし,ヒガシマツシマシ,10
318,大崎市,oosakishi,おおさきし,オオサキシ,10
319,富谷市,tomiyashi,とみやし,トミヤシ,10
320,蔵王町,zaoumachi,ざおうまち,ザオウマチ,10
321,七ヶ宿町,shichikashukumachi,しちかしゅくまち,シチカシュクマチ,10
322,大河原町,ookawarachou,おおかわらちょう,オオカワラチョウ,10
323,村田町,muratamachi,むらたまち,ムラタマチ,10
324,柴田町,shibatamachi,しばたまち,シバタマチ,10
325,川崎町,kawasakimachi,かわさきまち,カワサキマチ,10
326,丸森町,marumorimachi,まるもりまち,マルモリマチ,10
327,亘理町,watarimachi,わたりまち,ワタリマチ,10
328,山元町,yamamotochou,やまもとちょう,ヤマモトチョウ,10
329,松島町,matsushimamachi,まつしままち,マツシママチ,10
330,七ヶ浜町,shichigahamamachi,しちがはままち,シチガハママチ,10
331,利府町,rifuchou,りふちょう,リフチョウ,10
332,大和町,yamatochou,やまとちょう,ヤマトチョウ,10
333,大郷町,daigouchou,だいごうちょう,ダイゴウチョウ,10
334,大衡村,oohiramura,おおひらむら,オオヒラムラ,10
335,色麻町,shikamachou,しかまちょう,シカマチョウ,10
336,加美町,kamichou,かみちょう,カミチョウ,10
337,涌谷町,wakuyachou,わくやちょう,ワクヤチョウ,10
338,美里町,misatochou,みさとちょう,ミサトチョウ,10
339,女川町,onagawachou,おながわちょう,オナガワチョウ,10
340,南三陸町,minamisanrikuchou,みなみさんりくちょう,ミナミサンリクチョウ,10
341,秋田市,akitashi,あきたし,アキタシ,11
342,能代市,noshiroshi,のしろし,ノシロシ,11
343,横手市,yokoteshi,よこてし,ヨコテシ,11
344,大館市,oodateshi,おおだてし,オオダテシ,11
345,男鹿市,ogashi,おがし,オガシ,11
346,湯沢市,yuzawashi,ゆざわし,ユザワシ,11
347,鹿角市,kadunoshi,かづのし,カヅノシ,11
348,由利本荘市,yurihonjoushi,ゆりほんじょうし,ユリホンジョウシ,11
349,潟上市,katagamishi,かたがみし,カタガミシ,11
350,大仙市,daisenshi,だいせんし,ダイセンシ,11
351,北秋田市,kitaakitashi,きたあきたし,キタアキタシ,11
352,にかほ市,nikahoshi,にかほし,ニカホシ,11
353,仙北市,senbokushi,せんぼくし,センボクシ,11
354,小坂町,kosakamachi,こさかまち,コサカマチ,11
355,上小阿仁村,kamikoanimura,かみこあにむら,カミコアニムラ,11
356,藤里町,fujisatomachi,ふじさとまち,フジサトマチ,11
357,三種町,mitanechou,みたねちょう,ミタネチョウ,11
358,八峰町,happouchou,はっぽうちょう,ハッポウチョウ,11
359,五城目町,gojoumemachi,ごじょうめまち,ゴジョウメマチ,11
360,八郎潟町,hachirougatamachi,はちろうがたまち,ハチロウガタマチ,11
361,井川町,ikawamachi,いかわまち,イカワマチ,11
362,大潟村,ookatamura,おおかたむら,オオカタムラ,11
363,美郷町,misatochou,みさとちょう,ミサトチョウ,11
364,羽後町,ugomachi,うごまち,ウゴマチ,11
365,東成瀬村,higashinarusemura,ひがしなるせむら,ヒガシナルセムラ,11
366,山形市,yamagatashi,やまがたし,ヤマガタシ,12
367,米沢市,yonezawashi,よねざわし,ヨネザワシ,12
368,鶴岡市,tsuruokashi,つるおかし,ツルオカシ,12
369,酒田市,sakatashi,さかたし,サカタシ,12
370,新庄市,shinjoushi,しんじょうし,シンジョウシ,12
371,寒河江市,sagaeshi,さがえし,サガエシ,12
372,上山市,kaminoyamashi,かみのやまし,カミノヤマシ,12
373,村山市,murayamashi,むらやまし,ムラヤマシ,12
374,長井市,nagaishi,ながいし,ナガイシ,12
375,天童市,tendoushi,てんどうし,テンドウシ,12
376,東根市,higashineshi,ひがしねし,ヒガシネシ,12
377,尾花沢市,obanazawashi,おばなざわし,オバナザワシ,12
378,南陽市,nanyoushi,なんようし,ナンヨウシ,12
379,山辺町,yamabechou,やまべちょう,ヤマベチョウ,12
380,中山町,nakayamachou,なかやまちょう,ナカヤマチョウ,12
381,河北町,kahokuchou,かほくちょう,カホクチョウ,12
382,西川町,nishikawachou,にしかわちょう,ニシカワチョウ,12
383,朝日町,asahimachi,あさひまち,アサヒマチ,12
384,大江町,ooechou,おおえちょう,オオエチョウ,12
385,大石田町,ooishidamachi,おおいしだまち,オオイシダマチ,12
